Age Group,Average Closure Time in Days,Case Closed,City,Closed Cases,Sum of Closure Time (Days),Count of Crime Code,Crime Description,Crime Domain,Date Case Closed,Year,Quarter,Month,Day,Year,Quarter,Month,Day,Day of Week,Distinct Cities,No. of Cases,Sum of Police Deployed,Sum of Report Number,Reported Within 24H,Sum of Reporting Delay (Hours),Time of Occurrence,Time Range,Sum of Victim Age,Victim Gender,Weapon Used
45–59,85,Yes,Ghaziabad,1,85,1,KIDNAPPING,Other Crime,14-01-2023 22:00,2022,Qtr 4,October,21,2022,Qtr 4,October,21,Friday,1,1,16,8703,Within 24H,22,1899-12-30 05:51:00,Morning,51,F,Knife
45–59,58,Yes,Ghaziabad,1,58,1,KIDNAPPING,Other Crime,26-01-2024 08:00,2023,Qtr 4,November,29,2023,Qtr 4,November,29,Wednesday,1,1,8,14403,Within 24H,8,1899-12-30 00:36:00,Night,49,F,Explosives
45–59,30,Yes,Ghaziabad,1,30,1,PUBLIC INTOXICATION,Other Crime,10/4/2024 4:00:00 AM,2024,Qtr 4,October,4,2024,Qtr 3,September,4,Friday,1,1,16,16246,Within 24H,-716,1899-12-30 01:11:00,Night,59,F,Explosives
45–59,115,Yes,Ghaziabad,1,115,1,ROBBERY,Violent Crime,12/10/2023 3:00:00 PM,2023,Qtr 3,August,17,2023,Qtr 3,August,17,Thursday,1,1,4,12947,Within 24H,15,1899-12-30 18:52:00,Evening,54,M,None
45–59,218,Yes,Ghaziabad,1,218,1,ROBBERY,Violent Crime,15-12-2020 18:00,2020,Qtr 2,June,11,2020,Qtr 2,May,11,Thursday,1,1,16,1322,Within 24H,-726,1899-12-30 01:53:00,Night,46,M,None
45–59,78,Yes,Ghaziabad,1,78,1,ROBBERY,Violent Crime,22-07-2023 14:00,2023,Qtr 2,May,5,2023,Qtr 2,May,5,Friday,1,1,18,11456,Within 24H,14,1899-12-30 03:26:00,Night,58,M,Blunt Object
45–59,256,Yes,Ghaziabad,1,256,1,SHOPLIFTING,Other Crime,9/3/2023 1:00:00 PM,2022,Qtr 4,December,20,2022,Qtr 4,December,21,Tuesday,1,1,3,9564,After 24H,37,1899-12-30 23:14:00,Night,53,M,None
45–59,7,Yes,Ghaziabad,1,7,1,VANDALISM,Other Crime,27-01-2024 12:00,2024,Qtr 1,January,18,2024,Qtr 1,January,20,Thursday,1,1,13,15113,After 24H,60,1899-12-30 22:49:00,Night,58,M,Blunt Object
45–59,-76,Yes,Ghaziabad,1,-76,1,VANDALISM,Other Crime,7/12/2021 6:00:00 AM,2021,Qtr 3,September,25,2021,Qtr 3,September,26,Saturday,1,1,6,4012,After 24H,30,1899-12-30 17:59:00,Evening,58,F,None
45–59,69,Yes,Ghaziabad,1,69,1,VEHICLE - STOLEN,Violent Crime,23-12-2023 16:00,2023,Qtr 4,October,14,2023,Qtr 4,October,15,Saturday,1,1,15,13764,After 24H,40,1899-12-30 02:12:00,Night,59,M,Blunt Object
45–59,32,Yes,Ghaziabad,1,32,1,VEHICLE - STOLEN,Violent Crime,4/2/2024 2:00:00 AM,2024,Qtr 1,February,1,2024,Qtr 1,March,1,Thursday,1,1,19,14881,After 24H,698,1899-12-30 07:09:00,Morning,57,M,Knife
45–59,187,Yes,Hyderabad,1,187,1,ARSON,Fire Accident,13-08-2023 14:00,2023,Qtr 1,February,7,2023,Qtr 1,February,7,Tuesday,1,1,12,12279,Within 24H,14,1899-12-30 14:29:00,Afternoon,58,M,Firearm
45–59,92,Yes,Hyderabad,1,92,1,ASSAULT,Violent Crime,12/12/2020 10:00:00 PM,2020,Qtr 3,August,11,2020,Qtr 3,September,11,Tuesday,1,1,17,1342,After 24H,766,1899-12-30 08:15:00,Morning,45,F,None
45–59,34,Yes,Hyderabad,1,34,1,ASSAULT,Violent Crime,17-02-2023 07:00,2023,Qtr 1,January,13,2023,Qtr 1,January,14,Friday,1,1,1,9900,After 24H,31,1899-12-30 06:14:00,Morning,54,M,Knife
45–59,-197,Yes,Hyderabad,1,-197,1,ASSAULT,Violent Crime,19-04-2023 11:00,2023,Qtr 4,November,2,2023,Qtr 4,November,2,Thursday,1,1,10,10296,Within 24H,11,1899-12-30 12:26:00,Afternoon,49,M,Poison
45–59,89,Yes,Hyderabad,1,89,1,ASSAULT,Violent Crime,21-03-2024 11:00,2023,Qtr 4,December,23,2023,Qtr 4,December,23,Saturday,1,1,7,14727,Within 24H,11,1899-12-30 22:42:00,Night,51,F,Firearm
45–59,31,Yes,Hyderabad,1,31,1,ASSAULT,Violent Crime,23-10-2022 14:00,2022,Qtr 3,September,21,2022,Qtr 3,September,22,Wednesday,1,1,15,8294,After 24H,38,1899-12-30 14:33:00,Afternoon,56,F,Poison
45–59,25,Yes,Hyderabad,1,25,1,ASSAULT,Violent Crime,23-11-2022 16:00,2022,Qtr 4,October,29,2022,Qtr 4,October,29,Saturday,1,1,5,8828,Within 24H,16,1899-12-30 16:29:00,Afternoon,58,F,Firearm
45–59,-165,Yes,Hyderabad,1,-165,1,ASSAULT,Violent Crime,6/12/2023 4:00:00 PM,2023,Qtr 4,November,24,2023,Qtr 4,November,24,Friday,1,1,8,14337,Within 24H,16,1899-12-30 07:17:00,Morning,50,F,Poison
45–59,165,Yes,Hyderabad,1,165,1,BURGLARY,Other Crime,13-04-2022 10:00,2021,Qtr 4,October,27,2021,Qtr 4,October,30,Wednesday,1,1,4,4360,After 24H,82,1899-12-30 22:50:00,Night,54,F,Explosives
45–59,185,Yes,Hyderabad,1,185,1,BURGLARY,Other Crime,3/2/2023 9:00:00 AM,2022,Qtr 3,August,28,2022,Qtr 3,August,29,Sunday,1,1,14,7969,After 24H,33,1899-12-30 13:53:00,Afternoon,47,M,Poison
45–59,-166,Yes,Hyderabad,1,-166,1,COUNTERFEITING,Other Crime,1/7/2022 5:00:00 PM,2022,Qtr 2,June,21,2022,Qtr 2,June,22,Tuesday,1,1,19,7030,After 24H,41,1899-12-30 21:33:00,Night,52,M,Blunt Object
45–59,273,Yes,Hyderabad,1,273,1,COUNTERFEITING,Other Crime,11/1/2022 11:00:00 PM,2021,Qtr 4,December,31,2022,Qtr 1,February,1,Friday,1,1,18,5044,After 24H,791,1899-12-30 11:44:00,Morning,49,F,None
45–59,75,Yes,Hyderabad,1,75,1,COUNTERFEITING,Other Crime,19-04-2023 00:00,2023,Qtr 1,January,3,2023,Qtr 1,February,3,Tuesday,1,1,19,10553,After 24H,744,1899-12-30 08:18:00,Morning,54,F,None
45–59,-16,Yes,Hyderabad,1,-16,1,COUNTERFEITING,Other Crime,20-07-2023 14:00,2023,Qtr 3,August,5,2023,Qtr 3,August,5,Saturday,1,1,13,11507,Within 24H,14,1899-12-30 05:23:00,Morning,52,M,Knife
45–59,66,Yes,Hyderabad,1,66,1,COUNTERFEITING,Other Crime,21-08-2021 07:00,2021,Qtr 2,June,16,2021,Qtr 2,June,16,Wednesday,1,1,1,2986,Within 24H,7,1899-12-30 11:23:00,Morning,46,M,None
45–59,59,Yes,Hyderabad,1,59,1,COUNTERFEITING,Other Crime,22-03-2021 16:00,2021,Qtr 1,January,19,2021,Qtr 1,January,22,Tuesday,1,1,17,1803,After 24H,88,1899-12-30 20:34:00,Evening,58,F,Knife
45–59,22,Yes,Hyderabad,1,22,1,COUNTERFEITING,Other Crime,28-06-2023 20:00,2023,Qtr 2,June,6,2023,Qtr 2,June,6,Tuesday,1,1,14,11914,Within 24H,20,1899-12-30 06:29:00,Morning,52,F,Explosives
45–59,70,Yes,Hyderabad,1,70,1,COUNTERFEITING,Other Crime,28-10-2023 13:00,2023,Qtr 3,August,17,2023,Qtr 3,August,19,Thursday,1,1,17,12971,After 24H,61,1899-12-30 09:57:00,Morning,47,M,Explosives
45–59,304,Yes,Hyderabad,1,304,1,CYBERCRIME,Other Crime,12/4/2023 10:00:00 AM,2023,Qtr 1,February,28,2023,Qtr 1,February,3,Tuesday,1,1,17,10557,Within 24H,-590,1899-12-30 18:02:00,Evening,57,M,Poison
45–59,23,Yes,Hyderabad,1,23,1,CYBERCRIME,Other Crime,14-12-2023 22:00,2023,Qtr 4,November,20,2023,Qtr 4,November,21,Monday,1,1,7,14295,After 24H,46,1899-12-30 18:56:00,Evening,57,F,Explosives
45–59,17,Yes,Hyderabad,1,17,1,CYBERCRIME,Other Crime,15-04-2023 01:00,2023,Qtr 1,March,29,2023,Qtr 1,March,29,Wednesday,1,1,16,10942,Within 24H,1,1899-12-30 02:24:00,Night,48,F,Firearm
45–59,48,Yes,Hyderabad,1,48,1,CYBERCRIME,Other Crime,16-05-2021 23:00,2021,Qtr 1,March,29,2021,Qtr 1,March,29,Monday,1,1,8,2321,Within 24H,23,1899-12-30 04:22:00,Night,55,F,None
45–59,309,Yes,Hyderabad,1,309,1,CYBERCRIME,Other Crime,16-11-2023 01:00,2023,Qtr 4,October,31,2023,Qtr 1,January,11,Tuesday,1,1,2,14003,Within 24H,-7031,1899-12-30 13:16:00,Afternoon,52,F,Blunt Object
45–59,32,Yes,Hyderabad,1,32,1,CYBERCRIME,Other Crime,21-07-2023 09:00,2023,Qtr 2,June,19,2023,Qtr 2,June,19,Monday,1,1,7,12100,Within 24H,9,1899-12-30 14:32:00,Afternoon,54,F,Firearm
45–59,82,Yes,Hyderabad,1,82,1,CYBERCRIME,Other Crime,21-08-2024 05:00,2024,Qtr 1,January,6,2024,Qtr 2,May,31,Saturday,1,1,3,16948,After 24H,3509,1899-12-30 02:37:00,Night,53,F,Poison
45–59,38,Yes,Hyderabad,1,38,1,CYBERCRIME,Other Crime,25-01-2023 00:00,2022,Qtr 4,December,16,2022,Qtr 4,December,18,Friday,1,1,5,9513,After 24H,48,1899-12-30 08:29:00,Morning,45,F,Firearm
45–59,-15,Yes,Hyderabad,1,-15,1,CYBERCRIME,Other Crime,7/10/2021 1:00:00 AM,2021,Qtr 3,July,23,2021,Qtr 3,July,25,Friday,1,1,2,3351,After 24H,49,1899-12-30 09:27:00,Morning,48,F,None
45–59,30,Yes,Hyderabad,1,30,1,DOMESTIC VIOLENCE,Violent Crime,18-06-2022 23:00,2022,Qtr 2,May,18,2022,Qtr 2,May,19,Wednesday,1,1,4,6601,After 24H,47,1899-12-30 19:04:00,Evening,54,M,None
45–59,-47,Yes,Hyderabad,1,-47,1,DOMESTIC VIOLENCE,Violent Crime,19-06-2022 08:00,2022,Qtr 3,July,5,2022,Qtr 3,August,5,Tuesday,1,1,17,6472,After 24H,752,1899-12-30 11:38:00,Morning,48,F,Poison
45–59,-180,Yes,Hyderabad,1,-180,1,DOMESTIC VIOLENCE,Violent Crime,2/9/2020 4:00:00 AM,2020,Qtr 2,May,7,2020,Qtr 3,August,7,Thursday,1,1,11,779,After 24H,2212,1899-12-30 06:12:00,Morning,52,M,Knife
45–59,30,Yes,Hyderabad,1,30,1,DOMESTIC VIOLENCE,Violent Crime,20-10-2023 13:00,2023,Qtr 3,September,20,2023,Qtr 3,September,20,Wednesday,1,1,1,13423,Within 24H,13,1899-12-30 13:14:00,Afternoon,58,F,Knife
45–59,56,Yes,Hyderabad,1,56,1,DOMESTIC VIOLENCE,Violent Crime,21-06-2024 06:00,2024,Qtr 2,April,24,2024,Qtr 2,April,26,Wednesday,1,1,17,16486,After 24H,54,1899-12-30 16:09:00,Afternoon,45,F,None
45–59,75,Yes,Hyderabad,1,75,1,DOMESTIC VIOLENCE,Violent Crime,26-12-2021 08:00,2021,Qtr 3,July,12,2021,Qtr 4,October,12,Monday,1,1,16,4765,After 24H,2216,1899-12-30 17:18:00,Evening,47,M,Knife
45–59,27,Yes,Hyderabad,1,27,1,DOMESTIC VIOLENCE,Violent Crime,30-04-2024 23:00,2024,Qtr 2,April,3,2024,Qtr 2,April,3,Wednesday,1,1,10,15752,Within 24H,23,1899-12-30 22:42:00,Night,58,F,Knife
45–59,84,Yes,Hyderabad,1,84,1,DOMESTIC VIOLENCE,Violent Crime,30-07-2022 06:00,2022,Qtr 2,April,7,2022,Qtr 2,May,7,Thursday,1,1,7,7207,After 24H,726,1899-12-30 02:29:00,Night,52,F,Explosives
45–59,102,Yes,Hyderabad,1,102,1,DOMESTIC VIOLENCE,Violent Crime,4/2/2021 1:00:00 PM,2020,Qtr 4,December,19,2020,Qtr 4,December,21,Saturday,1,1,15,1601,After 24H,61,1899-12-30 22:53:00,Night,46,M,Knife
45–59,108,Yes,Hyderabad,1,108,1,DOMESTIC VIOLENCE,Violent Crime,5/2/2022 6:00:00 AM,2022,Qtr 4,November,1,2022,Qtr 1,January,14,Tuesday,1,1,11,5172,Within 24H,-6978,1899-12-30 16:27:00,Afternoon,53,M,None
45–59,19,Yes,Hyderabad,1,19,1,DRUG OFFENSE,Other Crime,13-04-2021 08:00,2021,Qtr 1,March,23,2021,Qtr 1,March,25,Tuesday,1,1,16,2278,After 24H,56,1899-12-30 11:27:00,Morning,48,F,None
45–59,21,Yes,Hyderabad,1,21,1,DRUG OFFENSE,Other Crime,17-11-2021 13:00,2021,Qtr 4,October,27,2021,Qtr 4,October,27,Wednesday,1,1,4,4335,Within 24H,13,1899-12-30 04:48:00,Night,57,F,Poison
45–59,292,Yes,Hyderabad,1,292,1,DRUG OFFENSE,Other Crime,30-11-2023 19:00,2023,Qtr 1,March,11,2023,Qtr 1,February,11,Saturday,1,1,10,14025,Within 24H,-653,1899-12-30 00:03:00,Night,47,F,Knife
45–59,11,Yes,Hyderabad,1,11,1,DRUG OFFENSE,Other Crime,4/4/2024 5:00:00 PM,2024,Qtr 1,March,23,2024,Qtr 1,March,24,Saturday,1,1,12,16030,After 24H,41,1899-12-30 17:46:00,Evening,45,M,Firearm
45–59,258,Yes,Hyderabad,1,258,1,EXTORTION,Other Crime,11/3/2024 2:00:00 AM,2024,Qtr 1,February,19,2024,Qtr 1,February,19,Monday,1,1,7,15538,Within 24H,2,1899-12-30 10:50:00,Morning,54,F,Other
45–59,199,Yes,Hyderabad,1,199,1,EXTORTION,Other Crime,25-07-2021 02:00,2021,Qtr 2,June,28,2021,Qtr 1,January,7,Monday,1,1,19,3124,Within 24H,-4126,1899-12-30 18:51:00,Evening,56,M,Poison
45–59,19,Yes,Hyderabad,1,19,1,EXTORTION,Other Crime,30-12-2022 10:00,2022,Qtr 4,November,13,2022,Qtr 4,December,11,Sunday,1,1,14,9020,After 24H,682,1899-12-30 01:18:00,Night,53,M,Firearm
45–59,-29,Yes,Hyderabad,1,-29,1,FIREARM OFFENSE,Fire Accident,3/10/2020 10:00:00 AM,2020,Qtr 2,April,8,2020,Qtr 2,April,8,Wednesday,1,1,3,883,Within 24H,10,1899-12-30 14:21:00,Afternoon,50,F,Knife
45–59,-119,Yes,Hyderabad,1,-119,1,FIREARM OFFENSE,Fire Accident,6/11/2023 4:00:00 AM,2023,Qtr 3,August,8,2023,Qtr 4,October,8,Tuesday,1,1,3,12842,After 24H,1468,1899-12-30 21:29:00,Night,48,M,Knife
45–59,276,Yes,Hyderabad,1,276,1,FRAUD,Other Crime,12/2/2024 1:00:00 AM,2024,Qtr 1,February,1,2024,Qtr 1,March,1,Thursday,1,1,10,14880,After 24H,697,1899-12-30 13:58:00,Afternoon,57,F,Knife
45–59,60,Yes,Hyderabad,1,60,1,FRAUD,Other Crime,19-10-2021 07:00,2021,Qtr 3,August,18,2021,Qtr 3,August,20,Wednesday,1,1,11,3640,After 24H,55,1899-12-30 23:55:00,Night,52,F,None
45–59,46,Yes,Hyderabad,1,46,1,FRAUD,Other Crime,31-07-2023 22:00,2023,Qtr 2,June,14,2023,Qtr 2,June,15,Wednesday,1,1,10,12039,After 24H,46,1899-12-30 14:30:00,Afternoon,56,F,Other
45–59,1,Yes,Hyderabad,1,1,1,FRAUD,Other Crime,9/12/2023 12:00:00 AM,2023,Qtr 3,July,11,2023,Qtr 3,September,11,Tuesday,1,1,12,14112,After 24H,1488,1899-12-30 01:06:00,Night,45,M,Other
45–59,325,Yes,Hyderabad,1,325,1,HOMICIDE,Other Crime,10/7/2024 7:00:00 AM,2023,Qtr 4,November,16,2023,Qtr 4,November,17,Thursday,1,1,17,14238,After 24H,31,1899-12-30 00:08:00,Night,49,F,Explosives
45–59,344,Yes,Hyderabad,1,344,1,HOMICIDE,Other Crime,13-01-2025 03:00,2024,Qtr 1,March,31,2024,Qtr 1,February,4,Sunday,1,1,19,16148,Within 24H,-1341,1899-12-30 17:50:00,Evening,51,F,Blunt Object
45–59,565,Yes,Hyderabad,1,565,1,HOMICIDE,Other Crime,15-06-2025 11:00,2023,Qtr 4,November,27,2023,Qtr 4,November,28,Monday,1,1,18,14390,After 24H,35,1899-12-30 10:34:00,Morning,52,F,Blunt Object
45–59,475,Yes,Hyderabad,1,475,1,HOMICIDE,Other Crime,28-11-2024 13:00,2023,Qtr 3,July,11,2023,Qtr 3,August,11,Tuesday,1,1,9,14105,After 24H,757,1899-12-30 19:15:00,Evening,55,M,None
45–59,793,Yes,Hyderabad,1,793,1,HOMICIDE,Other Crime,8/2/2023 5:00:00 PM,2021,Qtr 2,May,30,2021,Qtr 2,May,31,Sunday,1,1,4,2854,After 24H,41,1899-12-30 21:35:00,Night,45,F,Knife
45–59,59,Yes,Hyderabad,1,59,1,IDENTITY THEFT,Violent Crime,13-11-2021 17:00,2021,Qtr 3,September,15,2021,Qtr 3,September,15,Wednesday,1,1,1,3905,Within 24H,17,1899-12-30 03:18:00,Night,50,F,None
45–59,65,Yes,Hyderabad,1,65,1,IDENTITY THEFT,Violent Crime,2/1/2024 5:00:00 PM,2023,Qtr 4,November,26,2023,Qtr 4,November,28,Sunday,1,1,9,14392,After 24H,65,1899-12-30 17:50:00,Evening,48,F,Firearm
45–59,-4,Yes,Hyderabad,1,-4,1,IDENTITY THEFT,Violent Crime,26-02-2023 05:00,2023,Qtr 1,March,2,2023,Qtr 1,March,2,Thursday,1,1,16,10179,Within 24H,5,1899-12-30 04:11:00,Night,54,M,Other
45–59,44,Yes,Hyderabad,1,44,1,IDENTITY THEFT,Violent Crime,27-06-2021 02:00,2021,Qtr 2,May,14,2021,Qtr 2,May,14,Friday,1,1,13,2709,Within 24H,2,1899-12-30 02:30:00,Night,52,F,None
45–59,81,Yes,Hyderabad,1,81,1,IDENTITY THEFT,Violent Crime,29-10-2022 22:00,2022,Qtr 3,August,9,2022,Qtr 3,August,9,Tuesday,1,1,16,8112,Within 24H,22,1899-12-30 08:44:00,Morning,53,M,Firearm
45–59,-262,Yes,Hyderabad,1,-262,1,ILLEGAL POSSESSION,Other Crime,14-03-2024 03:00,2024,Qtr 4,October,1,2024,Qtr 4,December,1,Tuesday,1,1,8,15009,After 24H,1467,1899-12-30 03:28:00,Night,47,F,Blunt Object
45–59,61,Yes,Hyderabad,1,61,1,ILLEGAL POSSESSION,Other Crime,14-11-2023 20:00,2023,Qtr 4,December,9,2023,Qtr 3,September,14,Saturday,1,1,10,13345,Within 24H,-2044,1899-12-30 03:05:00,Night,54,F,Explosives
45–59,31,Yes,Hyderabad,1,31,1,ILLEGAL POSSESSION,Other Crime,18-09-2020 03:00,2020,Qtr 3,August,18,2020,Qtr 3,August,18,Tuesday,1,1,10,927,Within 24H,3,1899-12-30 04:36:00,Night,58,M,Knife
45–59,27,Yes,Hyderabad,1,27,1,ILLEGAL POSSESSION,Other Crime,24-12-2022 03:00,2022,Qtr 4,November,25,2022,Qtr 4,November,27,Friday,1,1,11,9218,After 24H,51,1899-12-30 14:16:00,Afternoon,45,F,Poison
45–59,229,Yes,Hyderabad,1,229,1,ILLEGAL POSSESSION,Other Crime,25-08-2022 08:00,2022,Qtr 1,January,8,2022,Qtr 1,January,8,Saturday,1,1,10,7589,Within 24H,8,1899-12-30 06:49:00,Morning,49,F,Explosives
45–59,22,Yes,Hyderabad,1,22,1,KIDNAPPING,Other Crime,15-07-2024 18:00,2024,Qtr 2,June,23,2024,Qtr 2,June,23,Sunday,1,1,19,17281,Within 24H,18,1899-12-30 16:10:00,Afternoon,56,F,Knife
45–59,82,Yes,Hyderabad,1,82,1,KIDNAPPING,Other Crime,16-11-2022 18:00,2022,Qtr 3,August,24,2022,Qtr 3,August,26,Wednesday,1,1,16,7934,After 24H,66,1899-12-30 21:10:00,Night,53,F,Firearm
45–59,108,Yes,Hyderabad,1,108,1,KIDNAPPING,Other Crime,25-10-2021 06:00,2021,Qtr 2,June,9,2021,Qtr 3,July,9,Wednesday,1,1,17,3819,After 24H,726,1899-12-30 19:28:00,Evening,55,M,None
45–59,77,Yes,Hyderabad,1,77,1,KIDNAPPING,Other Crime,30-08-2021 13:00,2021,Qtr 2,June,13,2021,Qtr 2,June,14,Sunday,1,1,16,2962,After 24H,37,1899-12-30 08:12:00,Morning,53,F,Blunt Object
45–59,183,Yes,Hyderabad,1,183,1,KIDNAPPING,Other Crime,8/8/2022 1:00:00 PM,2022,Qtr 1,February,6,2022,Qtr 1,February,6,Sunday,1,1,13,6774,Within 24H,13,1899-12-30 00:46:00,Night,59,M,Blunt Object
45–59,183,Yes,Hyderabad,1,183,1,PUBLIC INTOXICATION,Other Crime,10/2/2023 10:00:00 AM,2023,Qtr 1,March,2,2023,Qtr 2,April,2,Thursday,1,1,14,10200,After 24H,754,1899-12-30 20:22:00,Evening,56,M,None
45–59,158,Yes,Hyderabad,1,158,1,PUBLIC INTOXICATION,Other Crime,14-09-2022 20:00,2022,Qtr 1,March,9,2022,Qtr 2,April,9,Wednesday,1,1,11,8056,After 24H,764,1899-12-30 14:38:00,Afternoon,58,M,Knife
45–59,-319,Yes,Hyderabad,1,-319,1,PUBLIC INTOXICATION,Other Crime,17-01-2024 14:00,2024,Qtr 4,October,1,2024,Qtr 4,December,1,Tuesday,1,1,17,15015,After 24H,1478,1899-12-30 18:47:00,Evening,52,F,Other
45–59,18,Yes,Hyderabad,1,18,1,PUBLIC INTOXICATION,Other Crime,18-11-2022 16:00,2022,Qtr 4,October,30,2022,Qtr 4,October,31,Sunday,1,1,14,8856,After 24H,40,1899-12-30 15:10:00,Afternoon,56,M,Knife
45–59,74,Yes,Hyderabad,1,74,1,PUBLIC INTOXICATION,Other Crime,20-07-2023 23:00,2023,Qtr 2,May,7,2023,Qtr 2,May,7,Sunday,1,1,11,12333,Within 24H,23,1899-12-30 13:22:00,Afternoon,47,F,Blunt Object
45–59,110,Yes,Hyderabad,1,110,1,PUBLIC INTOXICATION,Other Crime,24-06-2023 10:00,2023,Qtr 1,March,6,2023,Qtr 1,March,6,Monday,1,1,11,11862,Within 24H,10,1899-12-30 11:13:00,Morning,47,F,Other
45–59,11,Yes,Hyderabad,1,11,1,PUBLIC INTOXICATION,Other Crime,26-03-2021 09:00,2021,Qtr 1,March,14,2021,Qtr 1,March,15,Sunday,1,1,19,2204,After 24H,33,1899-12-30 10:40:00,Morning,55,F,Poison
45–59,-73,Yes,Hyderabad,1,-73,1,PUBLIC INTOXICATION,Other Crime,27-08-2022 23:00,2022,Qtr 4,December,8,2022,Qtr 4,November,8,Thursday,1,1,17,7736,Within 24H,-697,1899-12-30 15:24:00,Afternoon,46,F,Firearm
45–59,110,Yes,Hyderabad,1,110,1,PUBLIC INTOXICATION,Other Crime,5/2/2024 8:00:00 AM,2024,Qtr 4,December,1,2024,Qtr 1,January,13,Sunday,1,1,8,15026,Within 24H,-7744,1899-12-30 03:22:00,Night,58,F,Explosives
45–59,215,Yes,Hyderabad,1,215,1,ROBBERY,Violent Crime,12/3/2022 10:00:00 PM,2022,Qtr 2,May,2,2022,Qtr 2,May,2,Monday,1,1,16,5435,Within 24H,22,1899-12-30 15:28:00,Afternoon,47,M,Knife
45–59,122,Yes,Hyderabad,1,122,1,ROBBERY,Violent Crime,13-10-2024 23:00,2024,Qtr 4,December,6,2024,Qtr 2,June,13,Friday,1,1,2,17143,Within 24H,-4201,1899-12-30 06:13:00,Morning,51,F,None
45–59,81,Yes,Hyderabad,1,81,1,ROBBERY,Violent Crime,14-06-2021 17:00,2021,Qtr 1,March,22,2021,Qtr 1,March,25,Monday,1,1,6,2284,After 24H,89,1899-12-30 21:50:00,Night,47,M,None
45–59,83,Yes,Hyderabad,1,83,1,ROBBERY,Violent Crime,17-04-2023 14:00,2023,Qtr 1,January,22,2023,Qtr 1,January,24,Sunday,1,1,16,10040,After 24H,62,1899-12-30 18:22:00,Evening,58,M,None
45–59,147,Yes,Hyderabad,1,147,1,ROBBERY,Violent Crime,17-12-2023 11:00,2023,Qtr 3,July,21,2023,Qtr 3,July,23,Friday,1,1,4,12589,After 24H,59,1899-12-30 23:38:00,Night,56,F,Poison
45–59,3,Yes,Hyderabad,1,3,1,ROBBERY,Violent Crime,2/4/2021 4:00:00 PM,2021,Qtr 1,March,1,2021,Qtr 1,February,1,Monday,1,1,15,1666,Within 24H,-656,1899-12-30 10:48:00,Morning,57,M,Knife
45–59,23,Yes,Hyderabad,1,23,1,ROBBERY,Violent Crime,28-08-2021 03:00,2021,Qtr 2,June,5,2021,Qtr 3,August,5,Saturday,1,1,1,2647,After 24H,1467,1899-12-30 07:48:00,Morning,56,F,Knife
45–59,2,Yes,Hyderabad,1,2,1,ROBBERY,Violent Crime,4/5/2021 11:00:00 AM,2021,Qtr 1,February,3,2021,Qtr 2,April,3,Wednesday,1,1,7,2122,After 24H,1427,1899-12-30 17:03:00,Evening,50,M,Knife
45–59,174,Yes,Hyderabad,1,174,1,ROBBERY,Violent Crime,6/4/2023 8:00:00 AM,2022,Qtr 4,December,12,2022,Qtr 4,December,12,Monday,1,1,18,9427,Within 24H,8,1899-12-30 13:26:00,Afternoon,48,M,Knife
45–59,974,Yes,Hyderabad,1,974,1,SEXUAL ASSAULT,Violent Crime,11/4/2026 10:00:00 PM,2024,Qtr 1,March,5,2024,Qtr 1,March,5,Tuesday,1,1,12,16587,Within 24H,22,1899-12-30 14:34:00,Afternoon,59,F,Firearm
45–59,496,Yes,Hyderabad,1,496,1,SEXUAL ASSAULT,Violent Crime,17-12-2022 10:00,2021,Qtr 3,September,8,2021,Qtr 3,August,8,Wednesday,1,1,3,3510,Within 24H,-734,1899-12-30 02:58:00,Night,52,F,Poison
45–59,666,Yes,Hyderabad,1,666,1,SEXUAL ASSAULT,Violent Crime,19-02-2026 06:00,2024,Qtr 2,April,22,2024,Qtr 2,April,24,Monday,1,1,17,16458,After 24H,54,1899-12-30 10:02:00,Morning,51,M,Firearm
45–59,641,Yes,Hyderabad,1,641,1,SEXUAL ASSAULT,Violent Crime,24-02-2025 06:00,2023,Qtr 2,May,25,2023,Qtr 2,May,25,Thursday,1,1,12,11748,Within 24H,6,1899-12-30 15:09:00,Afternoon,49,F,Poison
45–59,323,Yes,Hyderabad,1,323,1,SEXUAL ASSAULT,Violent Crime,28-09-2023 15:00,2022,Qtr 4,October,9,2022,Qtr 4,November,9,Sunday,1,1,4,8151,After 24H,759,1899-12-30 17:00:00,Evening,46,F,Firearm
45–59,349,Yes,Hyderabad,1,349,1,SEXUAL ASSAULT,Violent Crime,31-08-2024 16:00,2023,Qtr 3,September,17,2023,Qtr 3,September,17,Sunday,1,1,4,13387,Within 24H,16,1899-12-30 13:11:00,Afternoon,53,F,Other
45–59,579,Yes,Hyderabad,1,579,1,SEXUAL ASSAULT,Violent Crime,5/1/2025 5:00:00 AM,2023,Qtr 3,September,28,2023,Qtr 3,September,30,Thursday,1,1,1,13543,After 24H,53,1899-12-30 04:54:00,Night,54,F,None
45–59,461,Yes,Hyderabad,1,461,1,SEXUAL ASSAULT,Violent Crime,5/8/2023 5:00:00 PM,2021,Qtr 4,December,31,2022,Qtr 1,February,1,Friday,1,1,13,5040,After 24H,785,1899-12-30 13:17:00,Afternoon,51,F,Poison
45–59,127,Yes,Hyderabad,1,127,1,SEXUAL ASSAULT,Violent Crime,5/8/2023 6:00:00 AM,2022,Qtr 4,December,31,2023,Qtr 1,January,1,Saturday,1,1,5,9713,After 24H,30,1899-12-30 19:33:00,Evening,54,M,Other
